rank_in_month,category,month,revenue,category_pt,category_en
6,auto,2/1/2017,13162.4,automotivo,auto
6,auto,6/1/2017,31370.69,automotivo,auto
6,auto,12/1/2017,39287.64,automotivo,auto
6,auto,2/1/2018,41706.89,automotivo,auto
6,auto,6/1/2018,45407.49,automotivo,auto
6,auto,8/1/2018,45380.89,automotivo,auto
7,auto,3/1/2018,44753.24,automotivo,auto
7,auto,7/1/2018,43830.29,automotivo,auto
8,auto,10/1/2016,1833.25,automotivo,auto
8,auto,4/1/2018,49629.19,automotivo,auto
8,auto,5/1/2018,40928.14,automotivo,auto
9,auto,1/1/2017,5218.53,automotivo,auto
10,auto,3/1/2017,14482.07,automotivo,auto
10,auto,11/1/2017,34955.38,automotivo,auto
10,auto,1/1/2018,35995.02,automotivo,auto
1,health_beauty,9/1/2016,134.97,beleza_saude,health_beauty
1,health_beauty,2/1/2017,22838.79,beleza_saude,health_beauty
1,health_beauty,5/1/2017,46786.02,beleza_saude,health_beauty
1,health_beauty,6/1/2018,107908.82,beleza_saude,health_beauty
1,health_beauty,7/1/2018,105813.03,beleza_saude,health_beauty
1,health_beauty,8/1/2018,120803.94,beleza_saude,health_beauty
2,health_beauty,1/1/2017,12561.32,beleza_saude,health_beauty
2,health_beauty,8/1/2017,49873.9,beleza_saude,health_beauty
2,health_beauty,12/1/2017,61264.66,beleza_saude,health_beauty
2,health_beauty,2/1/2018,86996.06,beleza_saude,health_beauty
2,health_beauty,3/1/2018,90034.41,beleza_saude,health_beauty
2,health_beauty,4/1/2018,91751.04,beleza_saude,health_beauty
2,health_beauty,5/1/2018,96460.36,beleza_saude,health_beauty
3,health_beauty,10/1/2016,4552.51,beleza_saude,health_beauty
3,health_beauty,9/1/2017,51537.65,beleza_saude,health_beauty
3,health_beauty,11/1/2017,79120.4,beleza_saude,health_beauty
4,health_beauty,3/1/2017,25995.25,beleza_saude,health_beauty
5,health_beauty,4/1/2017,22935.75,beleza_saude,health_beauty
5,health_beauty,6/1/2017,32029.39,beleza_saude,health_beauty
5,health_beauty,1/1/2018,72470.49,beleza_saude,health_beauty
6,health_beauty,7/1/2017,34896.86,beleza_saude,health_beauty
6,health_beauty,10/1/2017,41915.72,beleza_saude,health_beauty
1,bed_bath_table,7/1/2017,63888.75,cama_mesa_banho,bed_bath_table
1,bed_bath_table,8/1/2017,57137.23,cama_mesa_banho,bed_bath_table
2,bed_bath_table,4/1/2017,24347.69,cama_mesa_banho,bed_bath_table
2,bed_bath_table,9/1/2017,52473.2,cama_mesa_banho,bed_bath_table
2,bed_bath_table,11/1/2017,89412.54,cama_mesa_banho,bed_bath_table
3,bed_bath_table,6/1/2017,35114.81,cama_mesa_banho,bed_bath_table
3,bed_bath_table,10/1/2017,46198,cama_mesa_banho,bed_bath_table
3,bed_bath_table,1/1/2018,76377.79,cama_mesa_banho,bed_bath_table
3,bed_bath_table,4/1/2018,72357.25,cama_mesa_banho,bed_bath_table
3,bed_bath_table,5/1/2018,71702.77,cama_mesa_banho,bed_bath_table
3,bed_bath_table,6/1/2018,71565.48,cama_mesa_banho,bed_bath_table
3,bed_bath_table,8/1/2018,61035.88,cama_mesa_banho,bed_bath_table
